TIMESTAMP,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,G_F_MDS,LE_F_MDS,H_F_MDS,EF_DV,LCL_DV,QA_DV,ME_DV,CLOUD_DV
20070206,37,10.709,201.93,270.49,8.834,86.753,0,1.744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2038.5,0.0028964,2.93E+05,9.0975
20070207,38,12.664,202.82,276.77,11.279,86.576,0,2.265,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2579,0.0024188,2.93E+05,9.1966
20070208,39,12.915,197.58,280.8,11.476,86.596,0,1.997,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2588.6,0.0024511,2.94E+05,11.726
20070209,40,13.875,203.29,290.33,11.219,86.681,0,1.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2206.9,0.003326,2.97E+05,10.14
20070210,41,13.88,189.25,304.96,10.843,86.456,0,1.403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2074.7,0.0036101,2.97E+05,16.822
20070211,42,12.387,143.94,323.68,7.909,86.076,0.48,3.659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1450.6,0.0046872,2.99E+05,37.186
20070212,43,9.961,210.86,273.26,7.599,86.187,0,2.706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1712.2,0.003356,2.93E+05,8.5692
20070213,44,7.286,111.27,309.14,4.674,85.979,3.379,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1079.5,0.0040165,2.92E+05,52.267
20070214,45,6.172,182.25,273.47,5.11,86.213,1.238,3.199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1346.3,0.0031443,2.89E+05,22.277
20070215,46,6.475,220.27,246.93,6.664,86.698,0,2.932,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1990.1,0.002152,2.86E+05,6.3601
20070216,47,7.775,221.12,257.14,7.81,86.746,0,2.062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2288.5,0.0019737,2.87E+05,6.7739
20070217,48,10.889,218.45,272.08,9.82,86.75,0,4.33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2435.6,0.0022988,2.91E+05,8.2429
20070218,49,12.219,170.69,302.08,10.597,86.289,0,3.855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2402.7,0.002615,2.93E+05,28.748
20070219,50,10.676,215.85,289.18,8.304,85.89,0.492,6.174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1840.3,0.0032903,2.93E+05,10.812
20070220,51,8.305,205.88,279.12,6.202,86.341,0.167,2.288,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1468.1,0.0034252,2.91E+05,15.963
20070221,52,10.74,233.93,264.52,9.973,86.442,0,1.384,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2563.8,0.0021039,2.91E+05,4.9487
20070222,53,12.368,223.58,284.49,11.962,86.174,0,3.104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3077.3,0.001732,2.91E+05,10.166
20070223,54,9.137,203.33,274.66,7.967,85.785,0.207,5.744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2021.3,0.0026242,2.90E+05,19.475
20070224,55,6.662,242.23,235.57,8.681,86.196,0,3.509,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3520.7,0.00079682,2.83E+05,5.3279
20070225,56,8.923,243.73,250.31,10.709,86.133,0,2.489,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4429.7,0.00050957,2.85E+05,5.9001
20070226,57,10.397,244.34,261.5,10.806,86.061,0,3.026,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3272.7,0.0012989,2.88E+05,6.6893
20070227,58,11.895,245.14,272.85,11.338,85.896,0,4.039,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2903,0.0018709,2.91E+05,7.0397
20070228,59,8.659,208.83,271.3,7.36,85.624,0.111,5.961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1857.1,0.0028034,2.90E+05,21.196
20070301,60,6.001,255.11,230.82,8.443,85.99,0,2.685,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3718,0.0006555,2.82E+05,4.8963
20070302,61,6.937,255.95,234.43,9.299,86.086,0,3.064,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4247.2,0.00048586,2.83E+05,5.4144
20070303,62,6.757,260.41,224.47,9.357,86.683,0,4.573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4643.6,0.00035296,2.82E+05,3.4734
20070304,63,8.292,264.83,222.56,10.446,87.019,0,6.896,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4837.3,0.00035111,2.84E+05,2.6694
20070305,64,10.33,235.34,261.04,12.143,86.736,0,3.256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5352,0.00028869,2.86E+05,14.323
20070306,65,13.395,258.14,278.1,15.666,86.674,0,2.055,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0001,2.88E+05,6.7386
20070307,66,17.697,246.6,308.24,18.718,86.43,0,1.783,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4436.2,0.0010931,2.95E+05,11.271
20070308,67,17.369,260.01,301.65,16.669,86.256,0,2.632,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3270.6,0.0022761,2.98E+05,7.3597
20070309,68,17.518,264.85,290.06,17.023,86.36,0,1.471,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3375.8,0.0021531,2.98E+05,6.2295
20070310,69,17.354,267.44,290.18,17.457,86.242,0,2.395,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3734.4,0.0016932,2.96E+05,5.6066
20070311,70,16.947,272.13,281.07,17.121,86.474,0,2.978,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3798.2,0.0015677,2.95E+05,5.3601
20070312,71,16.186,269.97,285.8,15.192,86.57,0,2.446,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3101.4,0.0022983,2.97E+05,6.4176
20070313,72,16.861,270.98,293.4,17.027,86.441,0,3.639,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3795.2,0.0015603,2.95E+05,6.4375
20070314,73,17.826,276.56,290.13,18.397,86.485,0,2.883,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4035,0.0014426,2.96E+05,5.3799
20070315,74,18.875,283.12,284.19,20.224,86.425,0,2.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4537.9,0.0011273,2.96E+05,3.9016
20070316,75,19.157,281.95,293.7,20.261,86.575,0,3.407,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4270.3,0.0013772,2.97E+05,4.9419
20070317,76,19.523,261.38,320.13,18.947,86.393,0.109,2.744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3263.3,0.0026975,3.01E+05,12.607
20070318,77,19.149,279.64,306.44,18.896,86.233,0.022,3.699,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3434.6,0.0023615,3.00E+05,7.4334
20070319,78,17.645,284.88,294.3,17.392,86.253,0,3.505,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3506.1,0.0020055,2.97E+05,6.4877
20070320,79,17.286,273.05,299.89,17.02,86.381,0,3.318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3507.5,0.0019445,2.97E+05,11.298
20070321,80,15.185,154.2,340.06,10.197,86.082,2.937,3.908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1650.8,0.0051081,3.03E+05,50.229
20070322,81,13.629,190.23,344.48,5.669,85.85,10.636,3.692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,845.09,0.0072219,3.06E+05,38.891
20070323,82,10.328,179.4,325.4,5.032,85.875,5.124,3.288,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,931.57,0.0054589,2.99E+05,43.043
20070324,83,11.608,249.26,309.09,7.633,86.324,0,1.475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1475.9,0.0043523,2.97E+05,21.246
20070325,84,14.366,281.64,299.08,10.985,86.348,0,1.161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2016.4,0.003879,2.99E+05,11.486
20070326,85,15.939,290.61,301.72,12.134,86.328,0,2.176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2034.4,0.0043088,3.01E+05,9.2411
20070327,86,15.797,295.26,297.72,12.849,85.902,0,5.188,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2287.9,0.0036909,3.00E+05,8.3444
20070328,87,9.329,308.23,245.45,9.34,85.957,0,4.054,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2701.2,0.0017321,2.88E+05,4.6248
20070329,88,10.17,307.45,253.81,10.626,86.181,0,1.972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3252.5,0.0012901,2.88E+05,5.5749
20070330,89,11.415,305.84,264.62,10.941,86.25,0,3.203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2865.9,0.001836,2.91E+05,6.5224
20070331,90,13.563,305.98,277.98,12.728,86.235,0,2.124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2984,0.002021,2.93E+05,6.7377
20070401,91,17.123,306.42,292.28,16.603,86.066,0,1.909,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3366.1,0.0021071,2.97E+05,7.1277
20070402,92,18.043,307.95,298.77,17.978,86.287,0,2.995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3598.3,0.0019513,2.98E+05,7.0767
20070403,93,19.379,310.59,297.77,19.157,86.495,0,1.851,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3434.6,0.0023968,3.00E+05,6.6729
20070404,94,20.648,309.66,308.77,21.597,86.449,0,2.032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3910.1,0.0019648,3.00E+05,7.2777
20070405,95,21.532,280.05,325.65,22.681,86.22,0,2.139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3869,0.0021683,3.02E+05,16.384
20070406,96,20.602,299.72,320.54,20.349,85.936,0,4.245,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3327.2,0.0028325,3.02E+05,10.674
20070407,97,17.363,315.9,293.44,16.789,85.841,0,2.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3335.8,0.0021945,2.97E+05,6.3936
20070408,98,17.125,282.28,322.08,13.714,85.97,0,4.752,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2229.6,0.0042095,3.02E+05,16.895
20070409,99,16.526,261.84,331.95,10.997,86.027,0,4.984,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1641.6,0.0056532,3.05E+05,23.603
20070410,100,16.922,312.85,308.92,13.032,86.015,0,4.916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2080.7,0.0045217,3.03E+05,9.465
20070411,101,17.21,319.76,295.89,15.206,85.884,0,4.363,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2700.7,0.0032049,3.00E+05,8.0743
20070412,102,15.616,316.85,297.04,13.284,85.399,0.297,6.612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2491.1,0.0032434,2.98E+05,9.4989
20070413,103,11.378,322.59,282.09,9.097,85.864,2.205,4.989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1995.4,0.0031602,2.94E+05,8.5098
20070414,104,14.818,329.24,278.65,13.705,86.407,0,2.129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2959.5,0.0022611,2.95E+05,7.4461
20070415,105,15.805,328.74,281.6,15.148,85.757,0,5.647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3265.6,0.0020306,2.95E+05,8.3737
20070416,106,12.069,313.47,281.39,10.827,85.884,0.157,4.695,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2557.9,0.0023588,2.93E+05,13.186
20070417,107,13.353,330.49,273.98,12.204,86.387,0,3.255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2789.3,0.0022434,2.94E+05,8.2577
20070418,108,17.513,330.98,291.35,16.865,86.035,0,2.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3296.1,0.0022712,2.98E+05,8.3781
20070419,109,17.215,335.99,284.61,16.708,85.783,0,3.846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3372.7,0.0021206,2.97E+05,7.3698
20070420,110,16.477,331.7,289.88,15.383,85.769,0,5.605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3062.5,0.0024312,2.97E+05,9.086
20070421,111,12.154,312.45,279.54,9.951,85.936,0.147,4.832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2149.2,0.0030509,2.94E+05,14.694
20070422,112,15.143,336.94,280.17,14.831,86.133,0,3.648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3443.7,0.0017111,2.94E+05,8.0048
20070423,113,15.182,328.14,289.66,13.717,86.049,0,5.513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2817.5,0.0025514,2.96E+05,10.53
20070424,114,14.922,340.88,278.13,13.748,86.333,0,3.947,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2937,0.0023139,2.95E+05,7.3258
20070425,115,18.346,338.99,297.64,17.625,86.269,0,1.733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3245.5,0.0024942,2.99E+05,8.4329
20070426,116,19.504,338.33,303.75,18.927,85.859,0,2.677,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3263.9,0.0027094,3.01E+05,8.844
20070427,117,20.127,333.71,312.88,20.378,86.086,0,1.886,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3603.2,0.002298,3.00E+05,9.6716
20070428,118,20.648,284.55,332.44,17.979,86.35,1.632,4.287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2516.3,0.0045836,3.07E+05,23.1
20070429,119,19.106,278.84,344.6,12.871,86.482,0.592,1.614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1660.3,0.0066688,3.10E+05,24.915
20070430,120,21.478,327.87,335.95,19.401,86.288,0,2.433,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2661,0.0044791,3.07E+05,12.268
20070501,121,21.337,303.27,337.28,19.526,85.984,0.611,3.313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2742,0.0042439,3.07E+05,19.032
20070502,122,19.701,341.24,316.79,16.695,85.995,0.039,2.989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2425.5,0.0045294,3.06E+05,8.7562
20070503,123,20.346,346.04,307.44,19.852,85.915,0,3.948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3246.9,0.0029179,3.02E+05,7.7618
20070504,124,19.026,346.97,298.29,18.274,85.691,0,5.603,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3209.4,0.0027059,3.00E+05,7.2937
20070505,125,17.023,349.52,292.44,15.285,85.441,0,6.484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2797.8,0.002995,2.99E+05,7.1945
20070506,126,15.892,356.82,279.57,15.792,85.83,0,2.112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3614.2,0.0016338,2.95E+05,5.1181
20070507,127,18.328,309,315.93,18.231,86.097,0.816,2.489,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3565.1,0.002043,2.98E+05,17.8
20070508,128,18.341,316.64,318.19,14.049,86.15,0.565,2.217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2051.3,0.0050867,3.06E+05,15.643
20070509,129,20.115,331.52,319.68,18.522,86.28,0,2.531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2851.5,0.003623,3.04E+05,11.78
20070510,130,24.052,353.05,318.76,26.89,86.377,0,1.711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4165.9,0.0021891,3.04E+05,6.6137
20070511,131,25.608,347.66,332.79,30.189,86.299,0,1.729,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4573.7,0.0019144,3.05E+05,7.8929
20070512,132,25.701,332.42,344.6,29.442,86.235,0,2.574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4106,0.0025877,3.07E+05,12.155
20070513,133,25.408,341.49,344.77,28.374,86.232,0,3.002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3856.7,0.0029481,3.07E+05,9.8162
20070514,134,24.366,351.65,336.5,25.677,86.236,0,3.387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3449.9,0.0034828,3.08E+05,7.0315
20070515,135,23.9,342.57,345.23,24.237,86.294,0,2.071,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3194.1,0.0039135,3.08E+05,9.1099
20070516,136,22.814,294.14,362.81,17.535,86.317,5.77,3.502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1936.9,0.0074088,3.16E+05,21.904
20070517,137,21.552,316.37,352.4,12.981,86.273,4.661,2.063,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1374.9,0.0092317,3.19E+05,16.013
20070518,138,21.499,314.96,333.12,14.801,86.286,2.45,1.743,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1669,0.007844,3.16E+05,16.143
